Date,Open,High,Low,Close,Adj Close,Volume
Dec 07 2018,73.80,75.90,71.53,71.59,71.59,57556000
Dec 06 2018,71.20,73.48,70.15,72.61,72.61,39212500
Dec 04 2018,71.21,73.74,70.40,71.94,71.94,42309500
Dec 03 2018,72.00,73.20,70.40,71.70,71.70,41532500
Nov 30 2018,68.37,70.32,67.65,70.10,70.10,28145500
Nov 29 2018,69.40,69.50,67.91,68.23,68.23,15403500
Nov 28 2018,69.20,69.66,68.44,69.57,69.57,20638000
Nov 27 2018,68.01,69.39,67.10,68.78,68.78,31791500
Nov 26 2018,65.00,69.24,65.00,69.20,69.20,39960500
Nov 23 2018,66.87,67.50,65.11,65.17,65.17,21013000
Nov 21 2018,70.40,70.62,67.48,67.64,67.64,23434000
Nov 20 2018,68.35,69.96,66.71,69.50,69.50,40023500
Nov 19 2018,71.27,73.35,70.58,70.69,70.69,48544500
Nov 16 2018,69.04,71.14,69.02,70.86,70.86,36031000
Nov 15 2018,68.47,69.72,67.81,69.69,69.69,23128500
Nov 14 2018,68.54,69.42,67.43,68.80,68.80,25201500
Nov 13 2018,66.63,68.94,66.44,67.75,67.75,27243000
Nov 12 2018,69.67,69.96,66.07,66.26,66.26,34707500
Nov 09 2018,69.80,70.80,69.05,70.10,70.10,25494000
Nov 08 2018,69.70,71.52,69.69,70.28,70.28,35453500
Nov 07 2018,68.67,70.24,68.16,69.63,69.63,36872500
Nov 06 2018,67.81,69.76,67.22,68.21,68.21,33814500
Nov 05 2018,68.10,68.79,66.03,68.28,68.28,39155000
Nov 02 2018,68.75,69.84,68.18,69.28,69.28,39040000
Nov 01 2018,67.65,69.57,66.95,68.86,68.86,40000500
Oct 31 2018,66.51,68.40,65.82,67.46,67.46,38121500
Oct 30 2018,65.68,67.58,64.45,65.98,65.98,45633500
Oct 29 2018,67.49,69.43,65.30,66.97,66.97,72430000
Oct 26 2018,61.65,67.98,61.33,66.18,66.18,137127500
Oct 25 2018,63.44,64.20,60.20,62.97,62.97,104203500
Oct 24 2018,60.21,60.89,57.15,57.70,57.70,100291500
Oct 23 2018,52.77,59.59,52.42,58.83,58.83,95139000
Oct 22 2018,52.14,52.37,50.52,52.19,52.19,28001500
Oct 19 2018,53.48,53.93,50.70,52.00,52.00,46877500
Oct 18 2018,53.86,54.20,52.60,52.78,52.78,27106000
Oct 17 2018,56.48,56.54,53.16,54.36,54.36,43277500
Oct 16 2018,53.14,55.48,52.45,55.32,55.32,47632000
Oct 15 2018,51.81,52.66,50.91,51.92,51.92,31000000
Oct 12 2018,52.20,52.40,50.40,51.76,51.76,36007000
Oct 11 2018,51.51,52.45,49.81,50.45,50.45,40838500
Oct 10 2018,52.92,53.10,49.55,51.38,51.38,64076500
Oct 09 2018,51.05,53.35,50.66,52.56,52.56,60303000
Oct 08 2018,52.90,53.55,49.80,50.11,50.11,67363500
Oct 05 2018,54.93,54.98,52.00,52.39,52.39,89722500
Oct 04 2018,58.79,58.80,55.53,56.37,56.37,49071000
Oct 03 2018,60.67,60.92,58.31,58.96,58.96,39975000
Oct 02 2018,62.79,63.37,59.83,60.20,60.20,58717500
Oct 01 2018,61.15,62.29,60.21,62.14,62.14,108888000
Sep 28 2018,54.05,55.60,52.11,52.95,52.95,168248500
Sep 27 2018,62.58,62.99,61.38,61.50,61.50,42545500
Sep 26 2018,60.38,62.78,60.22,61.92,61.92,39216000
Sep 25 2018,60.00,60.92,59.30,60.20,60.20,22408500
Sep 24 2018,59.70,60.60,58.72,59.94,59.94,24215000
Sep 21 2018,59.54,60.12,59.07,59.82,59.82,25252500
Sep 20 2018,60.71,61.20,58.67,59.67,59.67,36747000
Sep 19 2018,56.10,60.00,56.10,59.80,59.80,41474500
Sep 18 2018,59.34,60.53,55.10,56.99,56.99,82737500
Sep 17 2018,58.01,60.17,57.63,58.97,58.97,34438000
Sep 14 2018,57.75,59.47,57.30,59.04,59.04,33828000
Sep 13 2018,57.60,59.00,57.04,57.89,57.89,31701500
Sep 12 2018,56.29,58.50,55.73,58.11,58.11,50077000
Sep 11 2018,55.89,56.40,54.71,55.89,55.89,45850000
Sep 10 2018,54.65,57.21,54.20,57.10,57.10,71417500
Sep 07 2018,52.02,53.67,50.45,52.65,52.65,112459500
Sep 06 2018,56.96,58.23,55.78,56.19,56.19,37404000
Sep 05 2018,57.01,57.36,55.44,56.15,56.15,38604000
Sep 04 2018,59.39,59.64,57.60,57.79,57.79,41752500
Aug 31 2018,60.40,61.06,59.72,60.33,60.33,26875500
Aug 30 2018,60.45,60.92,59.54,60.63,60.63,36083500
Aug 29 2018,62.05,62.37,60.74,61.00,61.00,37237000
Aug 28 2018,63.68,63.78,62.24,62.37,62.37,38245500
Aug 27 2018,63.60,64.49,61.76,63.85,63.85,65396500
Aug 24 2018,64.14,64.77,63.88,64.56,64.56,18013000
Aug 23 2018,63.83,65.46,63.62,64.02,64.02,25736500
